Draw No,Draw Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Powerball,Div1,Div2,Div3,Div4,Div5,Div6,Div7,Div8,Div1 No Win,Div2 No Win,Div3 No Win,Div4 No Win,Div5 No Win,Div6 No Win,Div7 No Win,Div8 No Win,Prize Payable,Rollover,Rollover Count,Next Estimated Jackpot,Next Guaranteed Jackpot,Total Sales,Draw Machine,Ball Set,Powerball Draw Machine,Powerbal Ball Set,Gauteng Winners,Western Cape Winners,Northern Cape Winners,Eastern Cape Winners,Mpumalanga Winners,Limpopo Winners,Freestate Winners,KZN Winners,North West Winners
577,29/05/2015,4,12,17,25,29,5,0,138020,16613,283,329,16,17,10,0,6,35,781,1378,26549,16520,73994,3529524,12520572,5,0,0,13805508,Suikerbossie,P4,Mapula,PB5,0,0,0,0,0,0,0,0,0
576,26/05/2015,12,13,20,31,36,19,0,203470,21166,283,363,14,20,12,0,4,27,767,1227,28434,13944,64326,3496692,9906982,4,11000000,0,13568075,Suikerbossie,P3,Mapula,PB4,0,0,0,0,0,0,0,0,0
575,22/05/2015,9,31,32,40,41,10,0,397954,25403,469,388,22,17,10,0,2,22,453,1123,18646,15341,76464,3438604,7338342,3,9000000,0,13268458,Suikerbossie,P10,Mapula,PB2,0,0,0,0,0,0,0,0,0
574,19/05/2015,3,21,25,26,36,1,0,236728,17195,290,407,16,20,12,0,3,29,653,954,22120,11880,55552,3044631,4826424,2,7000000,0,11839383,Suikerbossie,P4,Mapula,PB5,0,0,0,0,0,0,0,0,0
573,15/05/2015,8,26,40,44,45,7,0,273026,20540,435,331,19,16,9,0,3,28,502,1353,22064,17130,86565,3532792,2585051,1,5000000,0,13654763,Suikerbossie,P5,Mapula,PB4,0,0,0,0,0,0,0,0,0
572,12/05/2015,18,21,24,28,41,15,10952106,441720,22154,398,462,18,21,12,2,2,28,592,1045,24610,14186,68065,25684036,0,0,3000000,0,14727688,Suikerbossie,P1,Mapula,PB8,0,0,0,2,0,0,0,0,0
571,08/05/2015,2,22,37,38,43,15,0,495536,20467,490,433,21,19,12,0,2,34,540,1251,24279,17934,75944,4255166,19116039,7,21000000,0,16521998,Khensani,P3,Ndyebokazi,PB2,0,0,0,0,0,0,0,0,0
570,05/05/2015,4,8,18,22,38,15,0,102942,15489,313,387,16,19,11,0,9,42,788,1309,28697,16454,76391,3942322,15988177,6,18000000,0,15445185,Suikerbossie,P5,Mapula,PB8,0,0,0,0,0,0,0,0,0
569,01/05/2015,4,8,20,35,45,16,0,122507,15439,302,390,16,19,12,0,7,39,757,1204,26992,15383,68086,3699025,13064172,5,15000000,0,14296068,Khensani,P10,Ndyebokazi,PB5,0,0,0,0,0,0,0,0,0
568,28/04/2015,11,27,37,39,44,3,0,386816,15520,272,273,14,15,10,0,2,35,758,1548,26970,16942,73090,3308222,10357712,4,12000000,0,12897118,Khensani,P4,Ndyebokazi,PB8,0,0,0,0,0,0,0,0,0
567,24/04/2015,4,13,20,31,38,1,0,180598,21135,368,404,17,20,11,0,5,30,655,1222,26253,15331,73016,3827865,7916094,3,10000000,0,15053671,Khensani,P3,Ndyebokazi,PB2,0,0,0,0,0,0,0,0,0
566,21/04/2015,7,9,22,28,35,15,0,149540,15441,302,336,15,17,11,0,5,34,661,1218,24964,14549,64107,3208534,5066208,2,7000000,0,12464812,Suikerbossie,P7,Mapula,PB7,0,0,0,0,0,0,0,0,0
565,17/04/2015,5,6,26,31,41,16,0,0,45615,496,454,21,20,11,0,0,32,461,1033,20975,14518,69231,3649694,2706432,1,5000000,0,14295921,Khensani,P4,Ndyebokazi,PB8,0,0,0,0,0,0,0,0,0
564,14/04/2015,20,22,23,29,33,19,51844047,176003,19013,393,394,18,18,11,1,8,52,955,1956,40492,26158,118337,57888133,0,0,3000000,0,23472977,Khensani,P10,Ndyebokazi,PB7,0,0,0,1,0,0,0,0,0
563,10/04/2015,12,13,17,22,28,18,0,360130,17745,301,371,15,18,11,0,4,57,1274,2126,47944,26278,117096,6104425,47400260,15,50000000,0,24014679,Suikerbossie,P10,Mapula,PB2,0,0,0,0,0,0,0,0,0
562,07/04/2015,5,16,22,24,40,7,0,364523,20894,444,331,18,15,8,0,4,49,876,2409,40502,32466,160031,6164495,42853921,14,44000000,0,24307622,Khensani,P8,Ndyebokazi,PB10,0,0,0,0,0,0,0,0,0
561,31/03/2015,5,6,20,26,27,15,0,615667,32022,391,392,17,18,11,0,2,27,839,1718,36192,22910,105464,5285181,38252123,13,40000000,0,20527384,Suikerbossie,P3,Mapula,PB7,0,0,0,0,0,0,0,0,0
560,27/03/2015,8,23,33,35,40,17,0,318112,21273,403,412,19,20,11,0,4,42,843,1689,34641,21946,103027,5431907,34365981,12,38000000,0,21212800,Suikerbossie,P1,Mapula,PB4,0,0,0,0,0,0,0,0,0
559,24/03/2015,5,17,21,25,36,16,0,324495,23570,346,431,17,20,12,0,3,29,750,1235,28966,16548,76157,4186066,30350080,11,35000000,0,16228810,Khensani,P6,Ndyebokazi,PB7,0,0,0,0,0,0,0,0,0
558,20/03/2015,11,17,27,34,42,9,0,265300,13548,322,342,16,17,10,0,4,55,879,1699,33235,21502,96411,4531840,27277723,10,30000000,0,17691093,Suikerbossie,P1,Mapula,PB4,0,0,0,0,0,0,0,0,0
557,17/03/2015,12,15,26,34,41,16,0,147953,21494,435,405,19,19,11,0,6,29,544,1199,23548,15950,74761,3806112,23928534,9,27000000,0,14799053,Suikerbossie,P9,Mapula,PB6,0,0,0,0,0,0,0,0,0
556,13/03/2015,18,19,20,22,43,6,0,164483,25665,248,361,15,18,10,0,6,27,1060,1493,32853,18815,88318,4196351,21126851,8,23000000,0,16452513,Khensani,P4,Ndyebokazi,PB10,0,0,0,0,0,0,0,0,0
555,10/03/2015,24,26,27,31,33,18,0,211204,19135,395,412,18,19,11,0,4,31,570,1121,23342,15137,69791,3600463,18012143,7,21000000,0,14083828,Suikerbossie,P6,Mapula,PB9,0,0,0,0,0,0,0,0,0
554,06/03/2015,10,21,23,25,45,9,0,477791,23137,383,391,17,18,11,0,2,29,665,1336,28190,17628,82926,4112346,15345863,6,18000000,0,15930369,Suikerbossie,P1,Mapula,PB8,0,0,0,0,0,0,0,0,0
553,03/03/2015,1,27,30,33,38,9,0,438861,22826,488,420,21,18,10,0,2,27,480,1144,20949,16626,84151,3789451,12330006,5,15000000,0,14632373,Suikerbossie,P5,Mapula,PB4,0,0,0,0,0,0,0,0,0
552,27/02/2015,4,9,27,31,41,11,0,154186,13821,374,362,19,17,10,0,6,47,659,1398,25178,18049,82735,3939810,9559878,4,12000000,0,15422456,Suikerbossie,P3,Mapula,PB9,0,0,0,0,0,0,0,0,0
551,24/02/2015,13,14,18,25,39,20,0,227787,23992,459,476,19,21,12,0,3,20,397,786,18185,10966,52641,2927053,6640176,3,10000000,0,11392213,Suikerbossie,P7,Mapula,PB9,0,0,0,0,0,0,0,0,0
550,20/02/2015,2,11,12,19,40,12,0,251550,15139,357,342,17,16,10,0,3,35,563,1208,22628,15736,67875,3213844,4483459,2,7000000,0,12580655,Khensani,P6,Ndyebokazi,PB7,0,0,0,0,0,0,0,0,0
549,17/02/2015,1,5,9,18,40,17,0,221982,25978,339,416,16,20,12,0,3,18,524,876,20648,11252,51258,2846106,2101752,1,5000000,0,11101881,Khensani,P1,Ndyebokazi,PB10,0,0,0,0,0,0,0,0,0
548,13/02/2015,6,11,20,27,37,20,3549441,88736,18089,222,349,13,18,11,2,9,31,957,1251,29787,14572,64037,10461252,0,0,3000000,0,13313860,Suikerbossie,P6,Mapula,PB2,1,0,0,0,0,1,0,0,0
547,10/02/2015,10,20,27,31,33,6,0,171891,12705,331,326,16,17,10,0,4,38,554,1154,21580,13824,60949,2919710,4578369,2,7000000,0,11462314,Suikerbossie,P8,Mapula,PB5,0,0,0,0,0,0,0,0,0
546,06/02/2015,17,23,36,38,42,2,0,763102,16744,403,456,20,21,11,0,1,32,505,916,19122,12263,62481,3247375,2408381,1,5000000,0,12721558,Khensani,P7,Ndyebokazi,PB10,0,0,0,0,0,0,0,0,0
545,03/02/2015,11,12,25,41,42,20,5214968,267747,21692,511,493,22,20,11,1,3,26,419,891,18917,13678,67424,8666971,0,0,3000000,0,13390716,Khensani,P8,Ndyebokazi,PB7,0,0,0,0,0,0,0,1,0
544,30/01/2015,4,23,25,43,45,17,0,849135,22083,446,456,20,21,12,0,1,27,508,1018,21711,13575,64527,3629771,2679905,1,5000000,0,14155799,Suikerbossie,P7,Mapula,PB4,0,0,0,0,0,0,0,0,0
543,27/01/2015,12,26,28,31,35,13,6963402,146681,12560,349,301,16,16,10,1,5,41,560,1334,22728,15222,66674,10082681,0,0,3000000,0,12226550,Khensani,P5,Ndyebokazi,PB5,1,0,0,0,0,0,0,0,0
542,23/01/2015,1,8,11,29,34,13,0,200916,16123,315,306,16,16,9,0,4,35,681,1438,24911,17382,79110,3411190,4648732,2,7000000,0,13397779,Suikerbossie,P1,Mapula,PB8,0,0,0,0,0,0,0,0,0
541,20/01/2015,3,4,23,31,35,5,0,334649,42724,506,445,20,19,11,0,2,11,353,822,17041,11755,55813,2861778,2112332,1,6000000,0,11157765,Suikerbossie,P4,Mapula,PB2,0,0,0,0,0,0,0,0,0
540,16/01/2015,5,7,14,29,42,4,9633526,843207,24669,382,342,17,16,9,1,1,24,589,1348,25157,17956,81420,13202548,0,0,3000000,0,14056980,Suikerbossie,P1,Mapula,PB5,1,0,0,0,0,0,0,0,0
539,13/01/2015,3,9,15,18,35,17,0,716727,17354,303,400,16,20,12,0,1,29,630,980,22857,12330,57053,3099831,6972329,3,9000000,0,11948450,Suikerbossie,P4,Mapula,PB9,0,0,0,0,0,0,0,0,0
